fecha,partido,resultado,competencia,team_id
"Jue., 6 de Jun.",Afghanistan,0 - 0,Qatar,4398
"Mar., 26 de Mar.",Kuwait,1 - 2,Qatar,4398
"Jue., 21 de Mar.",Qatar,3 - 0,Kuwait,4398
"Sáb., 6 de Jun.",Suiza,1 - 1,Australia,475
"Dom., 31 de May.",Suiza,4 - 1,Jordania,475
"Mar., 31 de Mar.",Noruega,0 - 0,Suiza,475
"Vie., 27 de Mar.",Suiza,3 - 4,Alemania,475
"Mar., 18 de Nov.",Kosovo,1 - 1,Suiza,475
"Sáb., 15 de Nov.",Suiza,4 - 1,Suecia,475
"Lun., 13 de Oct.",Eslovenia,0 - 0,Suiza,475
"Vie., 10 de Oct.",Suecia,0 - 2,Suiza,475
"Lun., 8 de Sep.",Suiza,3 - 0,Eslovenia,475
"Vie., 5 de Sep.",Suiza,4 - 0,Kosovo,475
"Mar., 10 de Jun.",Estados Unidos,0 - 4,Suiza,475
"Sáb., 7 de Jun.",México,2 - 4,Suiza,475
"Mar., 25 de Mar.",Suiza,3 - 1,Luxemburgo,475
"Vie., 21 de Mar.",Irlanda del Norte,1 - 1,Suiza,475
"Lun., 18 de Nov.",España,3 - 2,Suiza,475
"Vie., 15 de Nov.",Suiza,1 - 1,Serbia,475
"Mar., 15 de Oct.",Suiza,2 - 2,Dinamarca,475
"Sáb., 12 de Oct.",Serbia,2 - 0,Suiza,475
"Dom., 8 de Sep.",Suiza,1 - 4,España,475
"Jue., 5 de Sep.",Dinamarca,2 - 0,Suiza,475
"Sáb., 6 de Jul.",Inglaterra,1 - 1Inglaterra ganó 5-3 en penales,Suiza,475
"Sáb., 29 de Jun.",Suiza,2 - 0,Italia,475
"Dom., 23 de Jun.",Suiza,1 - 1,Alemania,475
"Mié., 19 de Jun.",Escocia,1 - 1,Suiza,475
"Sáb., 15 de Jun.",Hungría,1 - 3,Suiza,475
"Sáb., 6 de Jun.",Brasil,2 - 1,Egipto,205
"Dom., 31 de May.",Brasil,6 - 2,Panamá,205
"Mar., 31 de Mar.",Brasil,3 - 1,Croacia,205
"Jue., 26 de Mar.",Brasil,1 - 2,Francia,205
"Mar., 18 de Nov.",Brasil,1 - 1,Túnez,205
"Sáb., 15 de Nov.",Brasil,2 - 0,Senegal,205
"Mar., 14 de Oct.",Japón,3 - 2,Brasil,205
"Vie., 10 de Oct.",Corea del Sur,0 - 5,Brasil,205
"Mar., 9 de Sep.",Bolívia,1 - 0,Brasil,205
"Jue., 4 de Sep.",Brasil,3 - 0,Chile,205
"Mar., 10 de Jun.",Brasil,1 - 0,Paraguay,205
"Jue., 5 de Jun.",Ecuador,0 - 0,Brasil,205
"Mar., 25 de Mar.",Argentina,4 - 1,Brasil,205
"Jue., 20 de Mar.",Brasil,2 - 1,Colombia,205
"Mar., 19 de Nov.",Brasil,1 - 1,Uruguay,205
"Jue., 14 de Nov.",Venezuela,1 - 1,Brasil,205
"Mar., 15 de Oct.",Brasil,4 - 0,Perú,205
"Jue., 10 de Oct.",Chile,1 - 2,Brasil,205
"Mar., 10 de Sep.",Paraguay,1 - 0,Brasil,205
"Vie., 6 de Sep.",Brasil,1 - 0,Ecuador,205
"Sáb., 6 de Jul.",Uruguay,0 - 0Uruguay ganó 4-2 en penales,Brasil,205
"Mar., 2 de Jul.",Brasil,1 - 1,Colombia,205
"Vie., 28 de Jun.",Paraguay,1 - 4,Brasil,205
"Lun., 24 de Jun.",Brasil,0 - 0,Costa Rica,205
"Mié., 12 de Jun.",Estados Unidos,1 - 1,Brasil,205
"Dom., 7 de Jun.",Marruecos,1 - 1,Noruega,2869
"Mar., 2 de Jun.",Marruecos,4 - 0,Madagascar,2869
"Mar., 26 de May.",Marruecos,5 - 0,Burundi,2869
"Mar., 31 de Mar.",Marruecos,2 - 1,Paraguay,2869
"Vie., 27 de Mar.",Marruecos,1 - 1,Ecuador,2869
"Dom., 18 de Ene.",Senegal,0 - 3,Marruecos,2869
"Mié., 14 de Ene.",Nigeria,0 - 0Marruecos ganó 4-2 en penales,Marruecos,2869
"Vie., 9 de Ene.",Camerún,0 - 2,Marruecos,2869
"Dom., 4 de Ene.",Marruecos,1 - 0,Tanzania,2869
"Lun., 29 de Dic.",Zambia,0 - 3,Marruecos,2869
"Vie., 26 de Dic.",Marruecos,1 - 1,Mali,2869
"Dom., 21 de Dic.",Marruecos,2 - 0,Comoros,2869
"Mar., 18 de Nov.",Marruecos,4 - 0,Uganda,2869
"Vie., 14 de Nov.",Marruecos,1 - 0,Mozambique,2869
"Mar., 14 de Oct.",Marruecos,1 - 0,Congo,2869
"Jue., 9 de Oct.",Marruecos,1 - 0,Baréin,2869
"Lun., 8 de Sep.",Zambia,0 - 2,Marruecos,2869
"Vie., 5 de Sep.",Marruecos,5 - 0,Niger,2869
"Sáb., 30 de Ago.",Marruecos,3 - 2,Madagascar,2869
"Mar., 26 de Ago.",Senegal,1 - 1Marruecos ganó 5-3 en penales,Marruecos,2869
"Vie., 22 de Ago.",Tanzania,0 - 1,Marruecos,2869
"Dom., 17 de Ago.",República Democrática del Congo,1 - 3,Marruecos,2869
"Jue., 14 de Ago.",Marruecos,3 - 1,Zambia,2869
"Dom., 10 de Ago.",Kenya,1 - 0,Marruecos,2869
"Dom., 3 de Ago.",Marruecos,2 - 0,Angola,2869
"Vie., 5 de Jun.",Haití,1 - 2,Perú,2654
"Mar., 2 de Jun.",Haití,4 - 0,Nueva Zelanda,2654
"Mar., 31 de Mar.",Haití,1 - 1,Islandia,2654
"Sáb., 28 de Mar.",Haití,0 - 1,Túnez,2654
"Mar., 18 de Nov.",Haití,2 - 0,Nicaragua,2654
"Jue., 13 de Nov.",Haití,1 - 0,Costa Rica,2654
"Lun., 13 de Oct.",Honduras,3 - 0,Haití,2654
"Jue., 9 de Oct.",Nicaragua,0 - 3,Haití,2654
"Mar., 9 de Sep.",Costa Rica,3 - 3,Haití,2654
"Vie., 5 de Sep.",Haití,0 - 0,Honduras,2654
"Dom., 22 de Jun.",Estados Unidos,2 - 1,Haití,2654
"Jue., 19 de Jun.",Trinidad y Tobago,1 - 1,Haití,2654
