equipo,ataque_est,ataque_sd,Q2.5.x,Q97.5.x,defensa_est,defensa_sd,Q2.5.y,Q97.5.y,fuerza_neta,modelo
Japan,-0.005992313372498107,0.07975923323344132,-0.188799955336401,0.15989343159390065,-0.016888361345827507,0.09207534707975412,-0.24243100367985318,0.16076535815093884,0.010896047973329399,B_wc_vs_wc
France,0.01431048926159265,0.08362727041476267,-0.14906534381724226,0.21861579929104782,0.00350619503671401,0.08908777772535856,-0.18874277992044244,0.19997215132585539,0.010804294224878639,B_wc_vs_wc
Tunisia,-0.005467754444008106,0.08246176623053653,-0.1894669002713263,0.16820646792229416,-0.01350556027437657,0.09130406016458767,-0.2283139893880597,0.1645026462991313,0.008037805830368464,B_wc_vs_wc
Curaçao,0.028729270011654647,0.09383330581313072,-0.12655371271033608,0.2741769864885196,0.022018621755724804,0.09242863482747642,-0.14659669505597508,0.24973722464723117,0.006710648255929843,B_wc_vs_wc
South Korea,0.011805287971796957,0.0803471898837559,-0.1459637273992889,0.19997107632166186,0.00551975177622724,0.08798416051563326,-0.1769475548699649,0.20490796261817124,0.006285536195569716,B_wc_vs_wc
Croatia,0.00287417523502281,0.07953148970772717,-0.1678409994770333,0.18189842828850686,-0.002931379553696399,0.08655261013671472,-0.19718330180887852,0.18364649471755468,0.005805554788719209,B_wc_vs_wc
Brazil,0.008080275237703525,0.07851654935249067,-0.15191557154204502,0.19234429471023234,0.004604844011953116,0.08424939243361813,-0.17653295336333677,0.19297432087512897,0.003475431225750409,B_wc_vs_wc
Egypt,0.002315360904706923,0.08005249197410447,-0.1699490183573321,0.18313465837136075,-6.166643096574204e-4,0.0862975118072555,-0.19355581921364462,0.1833347782439031,0.0029320252143643435,B_wc_vs_wc
Germany,0.018004228009665946,0.08295492689643946,-0.138865834047382,0.22396808542778207,0.016225990350152816,0.09221001786460761,-0.16157881634530274,0.24194402155830236,0.00177823765951313,B_wc_vs_wc
Cape Verde,-0.00706424107654644,0.08498521354099642,-0.20418895478610058,0.1695762088711893,-0.006641786274077091,0.09138473257023538,-0.21606641120199774,0.18369723373734007,-4.2245480246934884e-4,B_wc_vs_wc
Bosnia and Herzegovina,0.0031012962050054604,0.08327022572892186,-0.17708025601450497,0.1887947318690577,0.004243898891441556,0.08760255127019442,-0.1819807784968012,0.19903517336875567,-0.0011426026864360958,B_wc_vs_wc
DR Congo,2.3398334911695733e-5,0.08464875343340938,-0.1864316679003175,0.18638669752901973,0.0020360583894072407,0.09171714982438156,-0.19528392823456617,0.20868402820709875,-0.002012660054495545,B_wc_vs_wc
Argentina,-0.010567254674960811,0.07833088236919501,-0.19495762975703082,0.14593990076002464,-0.007976078812734856,0.08820936805124575,-0.21366519000664852,0.17090291492256277,-0.002591175862225955,B_wc_vs_wc
England,-0.0024727670653786676,0.0841809848089479,-0.1878814975033593,0.17924974603039182,9.950200676568817e-4,0.09231995021908677,-0.20098533915895012,0.20030064827761856,-0.0034677871330355495,B_wc_vs_wc
Canada,-0.017147963833005174,0.08448799933053507,-0.22320373985607916,0.14080438845417434,-0.013314498912544723,0.08921077908998888,-0.22390652156428456,0.16447073029279818,-0.003833464920460451,B_wc_vs_wc
Saudi Arabia,-0.0388800151163348,0.09201101693432621,-0.27863098653555773,0.0961015500709703,-0.03413723003889071,0.09127622812261205,-0.2702349431660736,0.11637601623258793,-0.004742785077444092,B_wc_vs_wc
